tokenizer_id,corpus_id,mask,tokenizer_fingerprint,corpus_sha,code_version,n_chars,n_mask,n_gold_words,n_tokens,n_tokens_accepted,b_tp,b_fp,b_fn,b_tn,w_tp,w_pred,w_gold,w_intact,crossing_tokens,f_midcodepoint,f_cluster_split,f_overlap_rejected,f_dropped_chars,f_prefix_space_trim,n_sents
baichuan-m2,osf_cwsa_zh,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,40a6e2b75aed4185096260b399664383-af9331ff81d8,c1-b1-a1,10310,9810,5425,7779,7624,4654,2470,271,2415,3091,7624,5425,3502,270,155,0,0,0,0,500
baichuan-m2,osf_cwsa_zh,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,40a6e2b75aed4185096260b399664383-af9331ff81d8,c1-b1-a1,10310,9810,5425,7779,7624,4654,2470,271,2415,3091,7624,5425,3502,270,155,0,0,0,0,500
baichuan-m2,sighan_as,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,2be63cd08c949b44cd6e9a69edbec5fc-af9331ff81d8,c1-b1-a1,68582,54820,42425,55055,54014,26417,13902,2672,11829,19034,45319,34089,31488,2576,1041,0,0,3,0,5000
baichuan-m2,sighan_as,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,2be63cd08c949b44cd6e9a69edbec5fc-af9331ff81d8,c1-b1-a1,68582,63582,42425,55055,54014,34694,14320,2731,11837,26602,54014,42425,31488,2635,1041,0,0,3,0,5000
baichuan-m2,sighan_as,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,2be63cd08c949b44cd6e9a69edbec5fc-af9331ff81d8,c1-b1-a1,68582,63582,42425,55055,54014,34694,14320,2731,11837,26602,54014,42425,31488,2635,1041,0,0,3,0,5000
baichuan-m2,sighan_cityu,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,58581cf718d59e4d15084352ad65b879-af9331ff81d8,c1-b1-a1,67689,53468,40936,55551,54352,25099,15213,2057,11099,14314,41804,28648,28729,1972,1199,0,0,8,0,1492
baichuan-m2,sighan_cityu,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,58581cf718d59e4d15084352ad65b879-af9331ff81d8,c1-b1-a1,67689,66197,40936,55551,54352,37226,15634,2218,11119,24781,54352,40936,28729,2133,1199,0,0,8,0,1492
baichuan-m2,sighan_cityu,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,58581cf718d59e4d15084352ad65b879-af9331ff81d8,c1-b1-a1,67689,66197,40936,55551,54352,37226,15634,2218,11119,24781,54352,40936,28729,2133,1199,0,0,8,0,1492
baichuan-m2,sighan_msr,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,0560e07eb0101afa53c16a255caaa319-af9331ff81d8,c1-b1-a1,184355,146372,106873,115944,115909,61730,17255,9939,57448,47509,82970,75654,95009,9563,35,0,0,6,0,3985
baichuan-m2,sighan_msr,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,0560e07eb0101afa53c16a255caaa319-af9331ff81d8,c1-b1-a1,184355,180370,106873,115944,115909,91890,20034,10998,57448,74693,115909,106873,95009,10567,35,0,0,6,0,3985
baichuan-m2,sighan_msr,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,0560e07eb0101afa53c16a255caaa319-af9331ff81d8,c1-b1-a1,184355,180370,106873,115944,115909,91890,20034,10998,57448,74693,115909,106873,95009,10567,35,0,0,6,0,3985
